,artist,track,album
43,Kid Cudi,Mr. Rager,Man On The Moon II: The Legend Of Mr. Rager
44,Katy Perry,The One That Got Away,Teenage Dream
45,Bruno Mars,Runaway Baby,Doo-Wops & Hooligans
46,Far East Movement,Like A G6,Free Wired
47,Black Eyed Peas,Just Can’t Get Enough,The Beginning
48,USHER,OMG (feat. will.i.am),Raymond v Raymond (Expanded Edition)
49,Bruno Mars,The Lazy Song,Doo-Wops & Hooligans
50,Zac Brown Band,Colder Weather,You Get What You Give
51,Eminem,Not Afraid,Recovery
52,B.o.B,Airplanes (feat. Hayley Williams of Paramore),B.o.B Presents: The Adventures of Bobby Ray
53,Katy Perry,Firework,Teenage Dream
54,Taio Cruz,Dynamite,Rokstarr
55,Lady A,Need You Now,Need You Now
56,Mac Miller,Nikes on My Feet,K.I.D.S.
57,Gorillaz,Rhinestone Eyes,Plastic Beach
58,Jeremih,Down On Me,All About You
59,Mac Miller,Knock Knock,K.I.D.S.
60,Cascada,Everytime We Touch,Everytime We Touch (Premium Edition)
61,Prince Royce,Corazón Sin Cara,Prince Royce
62,Lil Wayne,Right Above It,I Am Not A Human Being
63,Bruno Mars,Count on Me,Doo-Wops & Hooligans
64,Cody Jinks,Hippies and Cowboys,Less Wise
65,Drake,Find Your Love,Thank Me Later
66,Kid Cudi,Mr. Rager,Man On The Moon II: The Legend Of Mr. Rager
67,Nelly,Just A Dream,5.0
68,Jason Derulo,Whatcha Say,Jason Derulo
69,Gorillaz,On Melancholy Hill,Plastic Beach
70,Rick Ross,Aston Martin Music,Teflon Don
71,Far East Movement,Rocketeer,Free Wired
72,Nicki Minaj,Moment 4 Life,Pink Friday
73,Kid Cudi,Erase Me - Main,Man On The Moon II: The Legend Of Mr. Rager
74,Flo Rida,Club Can't Handle Me (feat. David Guetta),Only One Flo (Part 1)
75,Josh Turner,Why Don't We Just Dance,Haywire
76,Plan B,Si No Le Contesto,House Of Pleasure
77,The Band Perry,If I Die Young,The Band Perry
78,Kesha,We R Who We R,Cannibal (Expanded Edition)
79,The Steeldrivers,Where Rainbows Never Die,Reckless
80,Taio Cruz,Dynamite,The Rokstarr Hits Collection
81,Mac Miller,Kool Aid & Frozen Pizza,K.I.D.S.
82,Angus & Julia Stone,Big Jet Plane,Down the Way
83,Alex G,Things to Do,Race
84,Kesha,Your Love Is My Drug,Animal (Expanded Edition)
85,The Black Keys,Howlin' for You,Brothers
86,Two Door Cinema Club,Undercover Martyn,Tourist History
87,Kanye West,Monster,My Beautiful Dark Twisted Fantasy
88,Beach House,Silver Soul,Teen Dream
89,CeeLo Green,Fuck You,The Lady Killer
90,Drake,Up All Night,Thank Me Later
91,Avenged Sevenfold,Nightmare,Nightmare
92,Sick Puppies,You're Going Down,Tri-polar
93,Rihanna,What's My Name?,Loud (Japan Version)
94,Taylor Swift,Back To December,Speak Now
95,Pierce The Veil,Caraphernelia,Selfish Machines
96,Mandy Moore,"When Will My Life Begin? - From ""Tangled"" / Soundtrack Version",Tangled
97,MARINA,Oh No!,The Family Jewels
98,My Darkest Days,Porn Star Dancing,My Darkest Days
99,Taio Cruz,Break Your Heart,Rokstarr
100,Jason Aldean,My Kinda Party,My Kinda Party
101,Kavinsky,Nightcall,Nightcall
102,Ludacris,My Chick Bad,Battle Of The Sexes (Deluxe)
103,Kesha,Backstabber,Animal (Expanded Edition)
104,Enrique Iglesias,Cuando Me Enamoro,Euphoria (Standard US/Latin version)
105,Jason Derulo,Ridin' Solo,Jason Derulo
106,Alicia Keys,Un-thinkable (I'm Ready) (feat. Drake) - Remix,Un-thinkable (I'm Ready) (feat. Drake) [Remix]
107,Prince Royce,Rechazame,Prince Royce
108,Kanye West,Gorgeous,My Beautiful Dark Twisted Fantasy
109,bôa,Twilight,Twilight
110,Enrique Iglesias,I Like It,Euphoria (Standard US/Latin version)
111,Billy Currington,Pretty Good At Drinkin' Beer,Enjoy Yourself
112,MARINA,Are You Satisfied?,The Family Jewels
113,Ellie Goulding,Lights,An Introduction To Ellie Goulding EP
114,Turnpike Troubadours,Long Hot Summer Day,Diamonds & Gasoline
115,Jason Aldean,Fly Over States,My Kinda Party
116,Kanye West,Dark Fantasy,My Beautiful Dark Twisted Fantasy
117,Travie McCoy,Billionaire (feat. Bruno Mars),Lazarus
118,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",Tangled
119,Volbeat,A Warrior's Call,Beyond Hell / Above Heaven
120,Lee Brice,Love Like Crazy,Love Like Crazy
121,Metric,Black Sheep - Brie Larson Vocal Version,Black Sheep (Brie Larson Vocal Version)
122,The Naked And Famous,Young Blood,"Passive Me, Aggressive You"
123,Turnpike Troubadours,Diamonds & Gasoline,Diamonds & Gasoline
124,Godsmack,Cryin' Like A Bitch!!,The Oracle (Deluxe Edition)
125,Zac Brown Band,As She's Walking Away (feat. Alan Jackson),You Get What You Give
126,Lady A,American Honey,Need You Now
127,Alan Jackson,It's Five O'Clock Somewhere,34 Number Ones
128,Sugarland,Stuck Like Glue,The Incredible Machine
129,Get Scared,Sarcasm,Best Kind Of Mess
130,B.o.B,Nothing on You,May 25th
131,Alex G,Race,Race
132,B.o.B,Magic (feat. Rivers Cuomo),B.o.B Presents: The Adventures of Bobby Ray
133,Eminem,Cinderella Man,Recovery
134,DJ Khaled,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",Victory
135,Kesha,Blow,Cannibal (Expanded Edition)
136,Eminem,No Love,Recovery
137,Mac Miller,The Spins,K.I.D.S.
138,Taylor Swift,Mean,Speak Now
139,A Day To Remember,All I Want,What Separates Me From You
140,Taylor Swift,Mine,Speak Now
141,Mike Posner,Please Don't Go,31 Minutes to Takeoff
142,Kenny Chesney,You and Tequila (feat. Grace Potter),Hemingway's Whiskey
143,Travie McCoy,Billionaire (feat. Bruno Mars),Billionaire (feat. Bruno Mars)
144,The Black Keys,Tighten Up,Brothers
145,Rodney Atkins,Farmer's Daughter,It's America
146,Jason Derulo,In My Head,Jason Derulo
147,CeeLo Green,Forget You,The Lady Killer
148,Nicki Minaj,Did It On’em,Pink Friday
149,Maroon 5,Misery,Hands All Over (Deluxe)
150,Bullet For My Valentine,Your Betrayal,Fever
151,A Day To Remember,All Signs Point To Lauderdale,What Separates Me From You
152,Taylor Swift,Sparks Fly,Speak Now
153,Pierce The Veil,Bulletproof Love,Selfish Machines
154,Turnpike Troubadours,7 & 7,Diamonds & Gasoline
155,Justin Bieber,Somebody To Love,My World 2.0
156,My Chemical Romance,Na Na Na (Na Na Na Na Na Na Na Na Na),Danger Days: The True Lives of the Fabulous Killjoys
157,Kesha,Take It Off,Animal (Expanded Edition)
158,Grace Potter,Something That I Want,Tangled
159,Big Time Rush,Boyfriend,BTR
160,Kesha,Blah Blah Blah (feat. 3OH!3),Animal (Expanded Edition)
161,Waka Flocka Flame,Grove St. Party (feat. Kebo Gotti),Flockaveli
162,Tikkle Me,Blow My Brains Out,Tikkle Me
163,Iration,Time Bomb,Time Bomb
164,Phantogram,When I'm Small,Eyelid Movies
165,Mandy Moore,"I've Got a Dream - From ""Tangled""/Soundtrack Version",Tangled
166,Juan Gabriel,¿Por Qué Me Haces Llorar?,Juan Gabriel
167,Keri Hilson,Pretty Girl Rock,No Boys Allowed
168,Taylor Swift,Better Than Revenge,Speak Now
169,Gorillaz,Empire Ants (feat. Little Dragon),Plastic Beach
170,Plain White T's,Rhythm Of Love,Wonders Of The Younger
171,Taylor Swift,Better Than Revenge,Speak Now (Deluxe Edition)
172,Mac Miller,Senior Skip Day,K.I.D.S.
173,USHER,Hey Daddy (Daddy's Home),Raymond v Raymond (Expanded Edition)
174,Two Door Cinema Club,Something Good Can Work,Tourist History
175,Camila,Mientes,Dejarte De Amar
176,Lady A,Need You Now,Need You Now
177,Billy Ocean,Caribbean Queen (No More Love On the Run),The Very Best of Billy Ocean
178,Jeremih,Love Don't Change,All About You
179,Zac Brown Band,Keep Me in Mind,You Get What You Give
180,Sleeping With Sirens,"If I'm James Dean, You're Audrey Hepburn",With Ears To See And Eyes To Hear
181,Kesha,Cannibal,Cannibal (Expanded Edition)
182,Drake,The Resistance,Thank Me Later
183,Broken Bells,The High Road,Broken Bells
184,Drake,Miss Me,Thank Me Later
185,Juan Luis Guerra 4.40,Bachata En Fukuoka,Asondeguerra
186,Train,Marry Me,"Save Me, San Francisco (Golden Gate Edition)"
187,Keith Urban,Long Hot Summer,Get Closer (Deluxe Version)
188,Clay Walker,She Won't Be Lonely Long,She Won't Be Lonely Long
189,Kenny Chesney,Somewhere With You,Hemingway's Whiskey
190,Ellie Goulding,Lights - Single Version,Lights
191,Jerrod Niemann,"Lover, Lover",Judge Jerrod & The Hung Jury
192,Selena,Bidi Bidi Bom Bom,La Leyenda (Version Super Deluxe)
193,Avenged Sevenfold,Welcome to the Family,Nightmare
194,Nicki Minaj,Your Love,Pink Friday
195,Brad Paisley,Whiskey Lullaby (feat. Alison Krauss),Hits Alive
196,Eminem,Space Bound,Recovery
197,Waka Flocka Flame,Hard in Da Paint,Flockaveli
198,Plan B,¿por Que Te Demoras?,House Of Pleasure
199,Daddy Yankee,La Despedida,Mundial (Deluxe Version)
200,Billy Currington,Let Me Down Easy,Enjoy Yourself
201,Brantley Gilbert,Kick It In The Sticks,Halfway To Heaven (Deluxe Edition)
202,Stromae,Alors on danse - Radio Edit,Cheese
203,Ludacris,How Low,Battle Of The Sexes (Deluxe)
204,Jason Aldean,Don't You Wanna Stay (with Kelly Clarkson),My Kinda Party
205,T.I.,That's All She Wrote,No Mercy
206,Katy Perry,E.T.,Teenage Dream
207,P!nk,F**kin' Perfect - Radio Edit,F**kin' Perfect (Radio Edit)
208,Alex G,TV,Race
209,MARINA,Hermit the Frog,The Family Jewels
210,Alex G,Gnaw,Race
211,Prince Royce,Stand by Me,Prince Royce
212,Inner Circle,Sweat (A La La La La Long),Blazzin' Fire
213,Selena,Baila Esta Cumbia,La Leyenda (Version Super Deluxe)
214,Soulja Boy,Pretty Boy Swag,The DeAndre Way (Deluxe Explicit Version)
215,Hans Zimmer,Time,Inception (Music from the Motion Picture)
216,Darius Rucker,Come Back Song,"Charleston, SC 1966"
217,Donna Murphy,"Mother Knows Best - From ""Tangled""/Soundtrack Version",Tangled
218,Chino & Nacho,Niña Bonita,Mi Niña Bonita - Reloaded
219,Iration,Summer Nights,Summer Nights
220,USHER,More - RedOne Jimmy Joker Remix,More
221,Mac Miller,Ayye,K.I.D.S. (Deluxe)
222,Taio Cruz,Break Your Heart,The Rokstarr Hits Collection
223,Taylor Swift,The Story Of Us,Speak Now
224,All That Remains,Now Let Them Tremble,For We Are Many
225,John Fogerty,Centerfield,Centerfield - 25th Anniversary
226,Shontelle,Impossible,No Gravity
227,Los Alegres Del Barranco,El 701,La Amanecida
228,Michael Franti & Spearhead,The Sound Of Sunshine,The Sound Of Sunshine
229,Chris Tomlin,Our God,And If Our God Is For Us...
230,Taylor Swift,Speak Now,Speak Now
231,Los Buitres De Culiacan Sinaloa,Sanguinarios Del M1,Los Buitres Con Tololoche
232,Cody Jinks,Somewhere in the Middle,Less Wise
233,Don Omar,Hooka,Meet The Orphans
234,Prince Royce,El Amor Que Perdimos,Prince Royce
235,Edward Maya,Stereo Love - Radio Edit,Stereo Love
236,MARINA,Seventeen,The Family Jewels
237,Of Mice & Men,SECOND & SEBRING,Of Mice & Men
238,3OH!3,My First Kiss (feat. Ke$ha),Streets Of Gold
239,Easton Corbin,A Little More Country Than That,Easton Corbin
240,Heidi Montag,I'll Do It,Superficial
241,Los Alegres de la Sierra,Asi Como Hoy,15 Exitos
242,Robyn,Dancing On My Own - Radio Edit,Body Talk
243,Breaking Benjamin,Blow Me Away - Soundtrack Version,Blow Me Away
244,Metric,Black Sheep,Black Sheep
245,Dread Mar I,Tu Sin Mi,Vivi En Do
246,David Guetta,Sexy Chick (feat. Akon),One More Love
247,P!nk,F**kin' Perfect,Greatest Hits...So Far!!!
248,Justin Bieber,That Should Be Me,My World 2.0
249,Disturbed,Down with the Sickness,The Sickness (10th Anniversary Edition)
250,Kid Cudi,Mojo So Dope,Man On The Moon II: The Legend Of Mr. Rager
251,Bo Burnham,Art Is Dead,Words Words Words
252,The Irrepressibles,In This Shirt,Mirror Mirror
253,Diddy - Dirty Money,Coming Home,Last Train To Paris
254,Edward Maya,Stereo Love,Stereo Love
255,Avenged Sevenfold,Buried Alive,Nightmare
256,Jason Aldean,Tattoos on This Town,My Kinda Party
257,Sara Bareilles,King of Anything,Kaleidoscope Heart
258,Godsmack,Love-Hate-Sex-Pain,The Oracle (Deluxe Edition)
259,Gyptian,Hold You - Hold Yuh,Hold You
260,Insane Clown Posse,Chop Chop Slide,Bang! Pow! Boom! Nuclear
261,10 Years,Fix Me,Feeding The Wolves (Deluxe Version)
262,Brantley Gilbert,Country Must Be Country Wide,Halfway To Heaven (Deluxe Edition)
263,The Black Keys,Everlasting Light,Brothers
264,Los Inquietos Del Norte,Vamos a Darle Con Todo,Vamos a Darle Con Todo
265,Matisyahu,One Day,Light
266,Kanye West,Lost In The World,My Beautiful Dark Twisted Fantasy
267,Brantley Gilbert,You Don't Know Her Like I Do,Halfway To Heaven (Deluxe Edition)
268,La Luz Roja De San Marcos,Cumbia Sampuesana,Los Exitos Mas Calientes
269,Kings of Leon,Pyro,Come Around Sundown (Expanded Edition)
270,Insane Clown Posse,To Catch a Predator,Bang! Pow! Boom! Nuclear
271,Gorillaz,Plastic Beach (feat. Mick Jones and Paul Simonon),Plastic Beach
272,Miguel,Vixen,All I Want Is You
273,El Trono de Mexico,Te Recordaré,Quiero Decirte Que Te Amo
274,Avenged Sevenfold,So Far Away,Nightmare
275,Ryan Bingham,Hallelujah,Junky Star
276,Black Eyed Peas,The Time (Dirty Bit),The Beginning (Deluxe)
277,Turnpike Troubadours,Whole Damn Town,Diamonds & Gasoline
278,Kanye West,Hell Of A Life,My Beautiful Dark Twisted Fantasy
279,Kansas,Carry on Wayward Son,The Essential Kansas
280,Flight Facilities,Crave You - Adventure Club Remix,Crave You (Remixes)
281,Willie Colón,Idilio,Mis Favoritas
282,LCD Soundsystem,Dance Yrself Clean,This Is Happening
283,Turnpike Troubadours,Every Girl,Diamonds & Gasoline
284,Shakira,Loca (feat. El Cata),Sale el Sol
285,Kesha,Grow A Pear,Cannibal (Expanded Edition)
286,Miley Cyrus,Can't Be Tamed,Can't Be Tamed
287,John Powell,Test Drive - From How To Train Your Dragon Music From The Motion Picture,How To Train Your Dragon (Music From The Motion Picture)
288,Nelly Furtado,Promiscuous,The Best of Nelly Furtado (Deluxe)
289,Ghost,Ritual,Opus Eponymous
290,Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale),No Hands (feat. Roscoe Dash & Wale)
291,Don Omar,Taboo,Meet The Orphans
292,Rihanna,Man Down,Loud
293,Hinder,All American Nightmare,All American Nightmare
294,Wisin & Yandel,Estoy Enamorado,"Los Vaqueros, El Regreso"
295,Taylor Swift,Dear John,Speak Now
296,Taylor Swift,Haunted,Speak Now
297,Taylor Swift,Last Kiss,Speak Now
298,Girls' Generation,Gee,Oh! - The Second Album
299,Evans Blue,Erase My Scars,Evans|Blue
300,Skrillex,Scary Monsters and Nice Sprites,Scary Monsters and Nice Sprites EP
301,Linkin Park,Waiting for the End,A Thousand Suns
302,Millionaires,Take Your Shirt Off,Cash Only
303,Julión Álvarez y su Norteño Banda,Terrenal,Ni Lo Intentes
304,Maria Pseftoga,Memoir #02 [06.12.09],Memoir #02 [06.12.09]
305,Crystal Castles,Suffocation,Crystal Castles (II)
306,Young the Giant,My Body - 2020 Remaster,Young The Giant (10th Anniversary Edition)
307,Los Buitres De Culiacan Sinaloa,El Tamarindo,Los Buitres Con Tololoche
308,Martin Solveig,Hello (feat. Dragonette),Hello
309,Drake,Shut It Down,Thank Me Later
310,Alan Jackson,Remember When,34 Number Ones
311,Kid Cudi,Marijuana,Man On The Moon II: The Legend Of Mr. Rager
312,Selena Gomez & The Scene,A Year Without Rain,A Year Without Rain
313,Sarah McLachlan,"When She Loved Me - From ""Toy Story 2"" / Soundtrack Version",Toy Story Favorites
314,Lloyd Banks,"Beamer, Benz, Or Bentley",H.F.M. 2 (Hunger For More 2)
315,Bruno Mars,Liquor Store Blues (feat. Damian Marley),Doo-Wops & Hooligans
316,Big Hooch,Ughh(She Nasty),Ughh(She Nasty)
317,David Guetta,Who's That Chick? (feat. Rihanna),Who's That Chick?
318,Stegosaurus Rex,Nowhere To Run,The Dino Soars
319,MARINA,Girls,The Family Jewels
320,Donna Murphy,"Mother Knows Best (Reprise) - From ""Tangled""/Soundtrack Version",Tangled
321,Shakira,Rabiosa (feat. Pitbull),Sale el Sol
322,Drake,Show Me A Good Time,Thank Me Later
323,Cartel De Santa,Bombos y Tarolas,Sincopa
324,USHER,There Goes My Baby,Raymond v Raymond (Expanded Edition)
325,Hannah Montana,I'll Always Remember You,Hannah Montana Forever
326,My Darkest Days,Every Lie,My Darkest Days
327,Shakira,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Listen Up! The Official 2010 FIFA World Cup Album
328,Nick Jonas,"Introducing Me - From ""Camp Rock 2: The Final Jam""",Camp Rock 2: The Final Jam
329,Kanye West,So Appalled,My Beautiful Dark Twisted Fantasy
330,Iration,Falling,Time Bomb
331,Don Omar,Hasta Abajo,Meet The Orphans
332,Nicki Minaj,Roman's Revenge,Pink Friday
333,Willie Colón,Talento De Televisión,Mis Favoritas
334,Erykah Badu,Window Seat,New Amerykah Part Two: Return Of The Ankh
335,Palomo,No Me Conoces Aún,Serie Diamante- 15 Súper Éxitos
336,Rascal Flatts,I Won't Let Go,Nothing Like This
337,Los Tucanes De Tijuana,El Centenario,15 Primeros Exitos Vol. 1
338,Brad Paisley,Mud On the Tires,Hits Alive
339,Sanctus Real,Lead Me,Pieces Of A Real Heart
340,The Green,Love I,The Green
341,Marco Antonio Solís,¿A Dónde Vamos A Parar?,En Total Plenitud
342,Rob Baird,Fade Away,Blue Eyed Angels
343,Drake,Unforgettable,Thank Me Later
344,Trampled by Turtles,Wait so Long,Palomino
345,Banda Los Recoditos,Ando Bien Pedo,Ando Bien Pedo
346,Big Time Rush,Worldwide,BTR
347,Swedish House Mafia,One - Radio Edit,One (Your Name)
348,The Steeldrivers,Good Corn Liquor,Reckless
349,Pierce The Veil,The Boy Who Could Fly,Selfish Machines
350,The Naked And Famous,Punching In A Dream,"Passive Me, Aggressive You"
351,Broken Bells,The Ghost Inside,Broken Bells
352,Tierra Cali,En Cambio Tú,Maldito Amor
353,Vicente Fernández,La Ley del Monte,Un Mexicano en la México
354,Matt Duncan,Beacon,Beacon
355,Josh Abbott Band,She's Like Texas,She's Like Texas
356,Inner Circle,Bad Boys (Theme from COPS),Blazzin' Fire
357,Selena Gomez & The Scene,Round & Round,A Year Without Rain
358,Disturbed,Warrior,Asylum (Deluxe Edition)
359,Taylor Swift,Dear John,Speak Now (Deluxe Edition)
360,Yelawolf,Pop The Trunk,Trunk Muzik 0-60
361,Fabrizio Paterlini,Rue des trois frères,Fragments Found
362,Carla Morrison,Compartir,Mientras Tú Dormías
363,MARINA,The Family Jewels,The Family Jewels (Deluxe)
364,MGMT,Congratulations,Congratulations
365,Darius Rucker,This,"Charleston, SC 1966"
366,A Day To Remember,Better Off This Way,What Separates Me From You
367,Mandy Moore,"Healing Incantation - From ""Tangled""/Soundtrack Version",Tangled
368,Arcade Fire,The Suburbs,The Suburbs (Deluxe)
369,Taylor Swift,Enchanted,Speak Now (Deluxe Edition)
370,Alan Jackson,Freight Train,Freight Train
371,Taylor Swift,Long Live,Speak Now
372,Shakira,Addicted to You,Sale el Sol
373,Randy Houser,Whistlin' Dixie,They Call Me Cadillac
374,Gorillaz,Stylo (feat. Mos Def and Bobby Womack),Plastic Beach
375,Kid Cudi,GHOST!,Man On The Moon II: The Legend Of Mr. Rager
376,Nicki Minaj,Fly,Pink Friday
377,Crystal Castles,Empathy,Crystal Castles (II)
378,Kanye West,Blame Game,My Beautiful Dark Twisted Fantasy
379,Fidel Rueda,Enhorabuena,Te Voy A Amar
380,Rihanna,Love The Way You Lie (Part II) - Pt. 2,Loud
381,YUI,again,HOLIDAYS IN THE SUN
382,The Steeldrivers,Ghosts Of Mississippi,Reckless
383,Robyn,Dancing On My Own,Body Talk Pt. 1
384,Pierce The Veil,Million Dollar Houses (The Painter),Selfish Machines
385,Action Bronson,Imported Goods,Imported Goods
386,A Day To Remember,2nd Sucks,What Separates Me From You
387,Camila,Aléjate de Mí,Dejarte De Amar
388,Gerardo Ortiz,En Preparacion,Ni Hoy Ni Manana
389,Eminem,25 To Life,Recovery
390,Canserbero,Pensando en Ti,Vida
391,Drake,Fireworks,Thank Me Later
392,Juan Luis Guerra 4.40,Mi Bendición,Asondeguerra
393,Alan Menken,"Kingdom Dance - From ""Tangled""/Score",Tangled
394,YG,Toot It And Boot It,Toot It And Boot It
395,Ramon Ayala Y Sus Bravos Del Norte,Tragos Amargos,Cruzando Fronteras
396,Black Veil Brides,Knives and Pens,We Stitch These Wounds
397,WILLOW,Whip My Hair,Whip My Hair
398,Easton Corbin,Roll With It,Easton Corbin
399,Taylor Swift,Ours,Speak Now (Deluxe Edition)
400,Rob Zombie,What?,Hellbilly Deluxe 2 (Special Edition)
401,Saving Abel,The Sex Is Good,Miss America
402,Taylor Swift,Haunted,Speak Now (Deluxe Edition)
403,Taylor Swift,Never Grow Up,Speak Now
404,Dr. Dre,Kush - Main,Kush
405,Rihanna,California King Bed,Loud (Japan Version)
406,Erik Satie,Enfantillages pittoresques: II. Berceuse,"Satie: Complete Piano Works, Vol. 2/2"
407,Yelawolf,Daddy's Lambo,Trunk Muzik 0-60
408,Big Time Rush,Til I Forget About You,BTR
409,Trey Songz,Can't Be Friends,"Passion, Pain & Pleasure (Deluxe Version)"
410,Kid Rock,Born Free,Born Free
411,Alfredo Olivas,Autorízame,El Patroncito
412,Fidel Rueda,Aunque Te Duela,Cumpliendo Un Sueño
413,Los Titanes De Durango,El Prostipirugolfo,15 Exitos
414,Alan Jackson,Where I Come From,34 Number Ones
415,Randy Travis,"Forever and Ever, Amen",Top 10
416,Selena,La Carcacha,La Leyenda (Version Super Deluxe)
417,Taylor Swift,Mean,Speak Now (Deluxe Edition)
418,Jason Derulo,Whatcha Say,Jason Derulo (Deluxe Audio)
419,Big Time Rush,Big Time Rush,BTR
420,Kings of Leon,Back Down South,Come Around Sundown (Expanded Edition)
421,Rihanna,Only Girl (In The World),Loud
422,Los Alegres de la Sierra,Y Si Volviera a Nacer,15 Exitos
423,The Chordettes,Lollipop,The Chordettes' Best
424,Voz De Mando,Comandos Del M.P (500 Balazos),Con La Nueva Federación
425,Little Big Town,Little White Church,The Reason Why
426,Chiddy Bang,Opposite of Adults,The Preview
427,Taylor Swift,Back To December,Speak Now (Deluxe Edition)
428,Enrique Iglesias,Tonight (I'm Fuckin' You),Euphoria
429,The Pretty Reckless,Make Me Wanna Die,Light Me Up
430,Lifehouse,Halfway Gone,Smoke & Mirrors (Deluxe)
431,Grupo Innovacion,Medias Negras,Exitos Y Cumbias
432,Taylor Swift,Sparks Fly,Speak Now (Deluxe Edition)
433,Justin Bieber,Stuck In The Moment,My World 2.0
434,Get Scared,Whore,Best Kind Of Mess
435,Josh Abbott Band,"Oh, Tonight (feat. Kacey Musgraves)",She's Like Texas
436,Lil Wayne,Bill Gates,I Am Not A Human Being
437,B.o.B,"Airplanes, Pt. II (feat. Eminem & Hayley Williams of Paramore)",B.o.B Presents: The Adventures of Bobby Ray
438,Rihanna,S&M,Loud
439,El Movimiento Alterado,Estrategia De Escape,Carteles Unidos
440,A Day To Remember,Over My Head (Cable Car),Attack Of The Killer B-Sides
441,Two Door Cinema Club,I Can Talk,Tourist History
442,Calle 13,Muerte En Hawaii,Entren Los Que Quieran
443,Ghost,Con Clavi Con Dio,Opus Eponymous
444,Aloe Blacc,I Need A Dollar,Good Things
445,Kanye West,All Of The Lights (Interlude),My Beautiful Dark Twisted Fantasy
446,Avenged Sevenfold,Natural Born Killer,Nightmare
447,John Powell,Romantic Flight - From How To Train Your Dragon Music From The Motion Picture,How To Train Your Dragon (Music From The Motion Picture)
448,Gerardo Ortiz,La Ultima Sombra,Ni Hoy Ni Manana
449,Jamey Johnson,Set 'Em Up Joe,The Guitar Song
450,Sufjan Stevens,Futile Devices,The Age of Adz
451,bôa,Elephant,Twilight
452,Beach House,Take Care,Teen Dream
453,Sleigh Bells,Rill Rill,Treats
454,Cosculluela,Prrrum,El Príncipe [Ghost Edition]
455,Escape the Fate,This War Is Ours (The Guillotine II),This War Is Ours (Deluxe Edition)
456,Taylor Swift,Mine,Speak Now (Deluxe Edition)
457,Flux Pavilion,I Can't Stop,I Can't Stop
458,Taylor Swift,Never Grow Up,Speak Now (Deluxe Edition)
459,Pierce The Veil,The New National Anthem,Selfish Machines
460,Eminem,Won't Back Down,Recovery
461,Jack Johnson,My Little Girl,To The Sea
462,El Trono de Mexico,Cielo De Estrellas,Quiero Decirte Que Te Amo
463,Trey Songz,Love Faces,"Passion, Pain & Pleasure (Deluxe Version)"
