,track_id,track,artist,album,track_popularity,acousticness,danceability,energy,instrumentalness,loudness,tempo
39,1fBl642IhJOE5U319Gy2Go,Animal,Neon Trees,Habits,72,0.000346,0.482,0.833,0.0,-5.611,148.039
40,59dLtGBS26x7kc0rHbaPrq,Nothin' on You (feat. Bruno Mars),B.o.B,B.o.B Presents: The Adventures of Bobby Ray,79,0.386,0.688,0.853,0.0,-5.814,103.993
41,7JwdbqIpiuWvGbRryKSuBz,Es un Secreto,Plan B,House Of Pleasure,71,0.106,0.841,0.783,2.49e-06,-4.915,94.989
42,5VA4Ispp52EA1sOqzMz3Av,All I Want Is You (feat. J. Cole),Miguel,All I Want Is You,74,0.0728,0.776,0.603,6.25e-05,-5.696,96.888
43,2ncLdwTd8qzkxiJjlbiOgC,Mr. Rager,Kid Cudi,Man On The Moon II: The Legend Of Mr. Rager,72,0.38,0.675,0.734,0.895,-8.659,101.998
44,6hkOqJ5mE093AQf2lbZnsG,The One That Got Away,Katy Perry,Teenage Dream,74,0.000812,0.691,0.795,1.02e-06,-4.021,133.971
45,5MMLS3xm12D7N26xlfFApr,Runaway Baby,Bruno Mars,Doo-Wops & Hooligans,74,0.263,0.658,0.762,0.0,-3.028,163.864
46,4DvhkX2ic4zWkQeWMwQ2qf,Like A G6,Far East Movement,Free Wired,72,0.00676,0.435,0.837,0.0,-8.126,124.913
47,3JA9Jsuxr4xgHXEawAdCp4,Just Can’t Get Enough,Black Eyed Peas,The Beginning,79,0.186,0.659,0.628,0.0,-8.685,94.05
48,1bM50INir8voAkVoKuvEUI,OMG (feat. will.i.am),USHER,Raymond v Raymond (Expanded Edition),76,0.198,0.781,0.745,1.14e-05,-5.81,129.998
49,1ExfPZEiahqhLyajhybFeS,The Lazy Song,Bruno Mars,Doo-Wops & Hooligans,76,0.3,0.794,0.711,0.0,-5.124,174.915
50,3U8dHeggJ8IBe0UCb1gbyB,Colder Weather,Zac Brown Band,You Get What You Give,72,0.455,0.667,0.381,0.0,-7.494,135.975
51,7Ie9W94M7OjPoZVV216Xus,Not Afraid,Eminem,Recovery,81,0.529,0.855,0.954,0.0,-1.19,114.635
52,6lV2MSQmRIkycDScNtrBXO,Airplanes (feat. Hayley Williams of Paramore),B.o.B,B.o.B Presents: The Adventures of Bobby Ray,78,0.11,0.66,0.867,0.0,-4.285,93.033
53,4r6eNCsrZnQWJzzvFh4nlg,Firework,Katy Perry,Teenage Dream,73,0.141,0.638,0.832,0.0,-5.039,124.071
54,1DqdF42leyFIzqNDv9CjId,Dynamite,Taio Cruz,Rokstarr,72,0.00332,0.754,0.804,0.0,-3.177,119.968
55,11EX5yhxr9Ihl3IN1asrfK,Need You Now,Lady A,Need You Now,73,0.0927,0.587,0.622,0.000636,-5.535,107.943
56,7cAFB83sEKAmwekVvQtGZj,Nikes on My Feet,Mac Miller,K.I.D.S.,76,0.559,0.801,0.57,0.0,-5.103,92.058
57,1foMv2HQwfQ2vntFf9HFeG,Rhinestone Eyes,Gorillaz,Plastic Beach,79,0.0869,0.676,0.703,0.000687,-5.815,92.761
58,0x3TibRgnSqzkcwrqBd4iX,Down On Me,Jeremih,All About You,76,0.0369,0.7,0.598,0.0,-7.783,160.041
59,46wojTgyEs6lbgaWB6yIuz,Knock Knock,Mac Miller,K.I.D.S.,73,0.107,0.682,0.934,0.0,-2.527,109.027
60,5YJtMNWKe55yr49cyJgxva,Everytime We Touch,Cascada,Everytime We Touch (Premium Edition),74,0.00281,0.633,0.976,1.29e-05,-5.362,142.027
61,0u4N6w5lBw5xMrzJitRWUo,Corazón Sin Cara,Prince Royce,Prince Royce,76,0.0489,0.704,0.83,0.0,-3.139,127.103
62,1kMuU3TNQvHbqvXCWBodmP,Right Above It,Lil Wayne,I Am Not A Human Being,72,0.0435,0.376,0.841,0.0,-4.348,76.052
63,7l1qvxWjxcKpB9PCtBuTbU,Count on Me,Bruno Mars,Doo-Wops & Hooligans,76,0.851,0.589,0.389,0.0,-5.972,89.1
64,0G7pjeHX2TDqw6mx14puWg,Hippies and Cowboys,Cody Jinks,Less Wise,70,0.0511,0.698,0.584,0.0,-5.067,115.08
65,4BycRneKmOs6MhYG9THsuX,Find Your Love,Drake,Thank Me Later,70,0.0211,0.627,0.614,0.0,-6.006,96.038
66,393MDhe62s8hbH8ETrlxe5,Mr. Rager,Kid Cudi,Man On The Moon II: The Legend Of Mr. Rager,75,0.389,0.671,0.726,0.882,-8.689,102.002
67,3ZdJffjzJWFimSQyxgGIxN,Just A Dream,Nelly,5.0,77,0.0421,0.531,0.752,0.0,-6.161,89.917
68,67T6l4q3zVjC5nZZPXByU8,Whatcha Say,Jason Derulo,Jason Derulo,69,0.0444,0.615,0.711,0.0,-5.507,144.036
69,0q6LuUqGLUiCPP1cbdwFs3,On Melancholy Hill,Gorillaz,Plastic Beach,79,1.51e-05,0.689,0.739,0.509,-5.81,120.423
70,5W7xC99N2Zzfh69r7I7zWK,Aston Martin Music,Rick Ross,Teflon Don,72,0.0124,0.57,0.58,0.0,-5.547,171.812
71,45sDIKapDyxPl307QpEAwl,Rocketeer,Far East Movement,Free Wired,69,0.181,0.664,0.845,0.0,-6.115,96.005
72,1ia019RqDK2o4QiANR1Dyn,Moment 4 Life,Nicki Minaj,Pink Friday,73,0.406,0.475,0.882,0.0,-3.883,98.001
73,6XkuklKiHYVTlVvWlTgQYP,Erase Me - Main,Kid Cudi,Man On The Moon II: The Legend Of Mr. Rager,72,0.063,0.687,0.631,0.0,-5.612,186.071
74,6ebkx7Q5tTxrCxKq4GYj0Y,Club Can't Handle Me (feat. David Guetta),Flo Rida,Only One Flo (Part 1),80,0.0283,0.616,0.869,0.0,-3.911,127.966
75,2p07VcUwRZ5sru3mJ0JogS,Why Don't We Just Dance,Josh Turner,Haywire,70,0.42,0.677,0.776,0.000689,-5.933,121.834
76,560GL9Y8gDtKPRIJ41oA3c,Si No Le Contesto,Plan B,House Of Pleasure,68,0.0945,0.844,0.757,0.0,-4.61,94.977
77,4u26EevCNXMhlvE1xFBJwX,If I Die Young,The Band Perry,The Band Perry,69,0.348,0.606,0.497,0.0,-6.611,130.739
78,3LUWWox8YYykohBbHUrrxd,We R Who We R,Kesha,Cannibal (Expanded Edition),74,0.00987,0.736,0.817,0.00167,-4.9,119.95
79,2gE58DQyqgsvsK87SWUN62,Where Rainbows Never Die,The Steeldrivers,Reckless,69,0.921,0.603,0.341,0.00314,-8.892,113.452
80,2CEgGE6aESpnmtfiZwYlbV,Dynamite,Taio Cruz,The Rokstarr Hits Collection,79,0.00379,0.751,0.783,0.0,-3.724,119.975
81,0SwxuVBPfjqR2kCnpDDnqp,Kool Aid & Frozen Pizza,Mac Miller,K.I.D.S.,72,0.154,0.66,0.845,0.0,-4.57,89.769
82,3WGsYiBXmaT8XyY4Fmry2v,Big Jet Plane,Angus & Julia Stone,Down the Way,71,0.239,0.762,0.387,0.00756,-8.643,109.959
83,1Ty1beNcNEbOXbO9fJNIXu,Things to Do,Alex G,Race,73,0.85,0.701,0.524,0.0257,-7.14,110.097
84,6vc2Jq2vaGu8z326kSrw92,Your Love Is My Drug,Kesha,Animal (Expanded Edition),72,0.00681,0.826,0.612,0.0,-3.891,120.057
