,artist,artist_genres,artist_popularity,artist_followers
80,Taio Cruz,"['dance pop', 'pop', 'pop rap']",68,2272036
81,Angus & Julia Stone,"['australian indie folk', 'indie folk']",63,1242475
82,Kesha,"['dance pop', 'pop']",74,7642761
83,Mac Miller,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap']",82,9497713
84,The Black Keys,"['alternative rock', 'blues rock', 'garage rock', 'indie rock', 'indietronica', 'modern blues rock', 'modern rock', 'punk blues', 'rock', 'roots rock']",69,3916077
85,Alex G,"['philly indie', 'pov: indie']",72,1028828
86,Two Door Cinema Club,"['indie rock', 'indietronica', 'irish rock', 'modern alternative rock', 'modern rock', 'northern irish indie']",67,2341620
87,CeeLo Green,['atl hip hop'],64,584814
88,Kanye West,"['chicago rap', 'hip hop', 'rap']",89,21267742
89,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",94,79671951
90,Beach House,"['art pop', 'baltimore indie', 'dream pop', 'dreamo', 'indie pop', 'indie rock', 'indietronica', 'modern dream pop']",70,1931667
91,Avenged Sevenfold,"['alternative metal', 'nu metal']",74,6508554
92,Taylor Swift,['pop'],100,86026925
93,Sick Puppies,"['alternative metal', 'nu metal', 'post-grunge']",56,890147
94,Rihanna,"['barbadian pop', 'pop', 'urban contemporary']",88,57812873
95,Mandy Moore,"['dance pop', 'neo mellow', 'post-teen pop']",62,700077
96,Pierce The Veil,"['pop punk', 'screamo']",71,2616964
97,MARINA,"['metropopolis', 'pop', 'pov: indie', 'uk alternative pop']",71,4903431
98,My Darkest Days,"['alternative metal', 'nu metal', 'post-grunge']",58,579325
99,Jason Aldean,"['contemporary country', 'country', 'country road', 'modern country rock']",73,6349106
100,Taio Cruz,"['dance pop', 'pop', 'pop rap']",68,2272036
101,Ludacris,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",75,2660129
102,Kavinsky,['filter house'],60,862825
103,Kesha,"['dance pop', 'pop']",74,7642761
104,Enrique Iglesias,"['dance pop', 'latin pop', 'mexican pop']",75,11327933
105,Jason Derulo,"['dance pop', 'pop']",77,11929946
106,Prince Royce,"['bachata', 'latin hip hop', 'latin pop', 'urbano latino']",74,7964140
107,Alicia Keys,"['neo soul', 'pop', 'r&b']",76,11051841
108,bôa,[],66,438554
109,Kanye West,"['chicago rap', 'hip hop', 'rap']",89,21267742
110,Enrique Iglesias,"['dance pop', 'latin pop', 'mexican pop']",75,11327933
111,Billy Currington,"['contemporary country', 'country', 'country road']",65,2609065
112,MARINA,"['metropopolis', 'pop', 'pov: indie', 'uk alternative pop']",71,4903431
113,Ellie Goulding,"['indietronica', 'metropopolis', 'pop', 'uk pop']",78,12312017
114,Jason Aldean,"['contemporary country', 'country', 'country road', 'modern country rock']",73,6349106
115,Turnpike Troubadours,"['modern southern rock', 'red dirt']",64,455462
116,Travie McCoy,['pop rap'],60,366470
117,Kanye West,"['chicago rap', 'hip hop', 'rap']",89,21267742
118,Mandy Moore,"['dance pop', 'neo mellow', 'post-teen pop']",62,700077
119,Lee Brice,"['contemporary country', 'country', 'country road', 'modern country rock']",69,2148503
120,The Naked And Famous,"['auckland indie', 'indietronica', 'kiwi rock', 'metropopolis']",54,713255
121,Volbeat,"['danish metal', 'danish rock']",68,2427911
122,Metric,"['canadian indie', 'canadian rock', 'indie rock', 'indietronica', 'metropopolis', 'neo-synthpop']",60,766150
123,Turnpike Troubadours,"['modern southern rock', 'red dirt']",64,455462
124,Zac Brown Band,"['contemporary country', 'country', 'country road', 'modern country rock']",72,3696155
125,Alan Jackson,['country'],71,2481373
126,Godsmack,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",66,3069010
127,Lady A,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road']",65,3834258
128,Sugarland,"['contemporary country', 'country', 'country dawn', 'country road']",56,1894391
129,B.o.B,"['atl hip hop', 'dance pop', 'pop rap', 'rap', 'southern hip hop']",71,2136853
130,Get Scared,[],56,642650
131,B.o.B,"['atl hip hop', 'dance pop', 'pop rap', 'rap', 'southern hip hop']",71,2136853
132,Alex G,"['philly indie', 'pov: indie']",72,1028828
133,DJ Khaled,"['hip hop', 'miami hip hop', 'pop rap', 'rap']",75,10400689
134,Eminem,"['detroit hip hop', 'hip hop', 'rap']",88,76511108
135,Kesha,"['dance pop', 'pop']",74,7642761
136,Eminem,"['detroit hip hop', 'hip hop', 'rap']",88,76511108
137,Taylor Swift,['pop'],100,86026925
138,Mac Miller,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap']",82,9497713
139,Taylor Swift,['pop'],100,86026925
140,A Day To Remember,"['alternative metal', 'metalcore', 'neon pop punk', 'pop emo', 'pop punk', 'screamo']",67,2270621
141,Mike Posner,"['dance pop', 'pop', 'pop dance', 'pop rap']",68,1375859
142,Kenny Chesney,"['contemporary country', 'country', 'country road']",70,4396103
143,Travie McCoy,['pop rap'],60,366470
144,The Black Keys,"['alternative rock', 'blues rock', 'garage rock', 'indie rock', 'indietronica', 'modern blues rock', 'modern rock', 'punk blues', 'rock', 'roots rock']",69,3916077
145,Rodney Atkins,"['contemporary country', 'country', 'country road']",60,1917692
146,Jason Derulo,"['dance pop', 'pop']",77,11929946
147,CeeLo Green,['atl hip hop'],64,584814
148,Taylor Swift,['pop'],100,86026925
149,Nicki Minaj,"['hip pop', 'pop', 'queens hip hop', 'rap']",86,29523913
150,Bullet For My Valentine,"['alternative metal', 'melodic metalcore', 'nu metal', 'pop punk', 'post-grunge', 'uk metalcore', 'welsh metal']",66,2843682
151,Maroon 5,['pop'],83,41494445
152,A Day To Remember,"['alternative metal', 'metalcore', 'neon pop punk', 'pop emo', 'pop punk', 'screamo']",67,2270621
153,Pierce The Veil,"['pop punk', 'screamo']",71,2616964
154,Turnpike Troubadours,"['modern southern rock', 'red dirt']",64,455462
155,Justin Bieber,"['canadian pop', 'pop']",87,74210660
156,My Chemical Romance,"['emo', 'modern rock', 'pop punk', 'pov: indie', 'rock']",75,7932010
157,Grace Potter,[],53,107093
158,Kesha,"['dance pop', 'pop']",74,7642761
159,Big Time Rush,"['boy band', 'pop', 'post-teen pop']",64,2693481
160,Kesha,"['dance pop', 'pop']",74,7642761
161,Waka Flocka Flame,"['atl hip hop', 'dirty south rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",64,2714590
162,Iration,['reggae rock'],56,390414
163,Tikkle Me,"['swedish electropop', 'swedish synthpop']",47,20214
164,Mandy Moore,"['dance pop', 'neo mellow', 'post-teen pop']",62,700077
165,Phantogram,"['indietronica', 'metropopolis', 'neo-synthpop']",63,785935
166,Taylor Swift,['pop'],100,86026925
167,Juan Gabriel,"['cancion melodica', 'latin pop', 'mariachi', 'musica mexicana', 'ranchera']",74,8180493
168,Keri Hilson,"['dance pop', 'hip pop', 'r&b', 'urban contemporary']",65,1967507
169,Taylor Swift,['pop'],100,86026925
170,Plain White T's,"['modern rock', 'neo mellow', 'neon pop punk', 'pop punk', 'pop rock']",61,1199273
171,Gorillaz,"['alternative hip hop', 'modern rock', 'rock']",77,10843316
172,Mac Miller,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap']",82,9497713
173,Two Door Cinema Club,"['indie rock', 'indietronica', 'irish rock', 'modern alternative rock', 'modern rock', 'northern irish indie']",67,2341620
174,Camila,"['latin arena pop', 'latin pop']",69,4186541
175,Lady A,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road']",65,3834258
176,USHER,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']",78,10751861
177,Zac Brown Band,"['contemporary country', 'country', 'country road', 'modern country rock']",72,3696155
178,Billy Ocean,"['disco', 'mellow gold', 'new romantic', 'new wave pop', 'soft rock', 'yacht rock']",61,1086163
179,Jeremih,"['chicago rap', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",72,6554198
180,Kesha,"['dance pop', 'pop']",74,7642761
181,Sleeping With Sirens,"['neon pop punk', 'pop emo', 'pop punk', 'screamo']",62,2241737
182,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",94,79671951
183,Broken Bells,"['chamber pop', 'indie rock', 'indietronica', 'la indie', 'modern rock']",56,591797
184,Keith Urban,"['australian country', 'australian pop', 'contemporary country', 'country', 'country road']",68,5229462
185,Train,"['dance pop', 'neo mellow', 'pop', 'pop rock']",71,4356940
186,Juan Luis Guerra 4.40,"['bachata', 'latin pop', 'tropical']",74,4414787
187,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",94,79671951
188,Clay Walker,"['contemporary country', 'country', 'country road']",54,1205890
189,Kenny Chesney,"['contemporary country', 'country', 'country road']",70,4396103
190,Ellie Goulding,"['indietronica', 'metropopolis', 'pop', 'uk pop']",78,12312017
191,Jerrod Niemann,"['contemporary country', 'country road']",49,501650
192,Selena,"['mexican pop', 'tejano']",68,3474520
193,Brad Paisley,"['contemporary country', 'country', 'country road']",64,2726246
194,Nicki Minaj,"['hip pop', 'pop', 'queens hip hop', 'rap']",86,29523913
195,Avenged Sevenfold,"['alternative metal', 'nu metal']",74,6508554
196,Eminem,"['detroit hip hop', 'hip hop', 'rap']",88,76511108
197,Waka Flocka Flame,"['atl hip hop', 'dirty south rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",64,2714590
198,Billy Currington,"['contemporary country', 'country', 'country road']",65,2609065
199,Plan B,"['reggaeton', 'trap latino', 'urbano latino']",77,3386064
200,Daddy Yankee,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",85,33880316
201,Brantley Gilbert,"['contemporary country', 'country', 'country road', 'modern country rock']",65,2963984
202,Stromae,"['belgian pop', 'g-house']",69,3102698
203,Ludacris,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",75,2660129
204,Jason Aldean,"['contemporary country', 'country', 'country road', 'modern country rock']",73,6349106
205,T.I.,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",72,4683265
206,Katy Perry,['pop'],82,29309751
207,P!nk,"['dance pop', 'pop']",79,15851034
208,MARINA,"['metropopolis', 'pop', 'pov: indie', 'uk alternative pop']",71,4903431
209,Alex G,"['philly indie', 'pov: indie']",72,1028828
210,Inner Circle,"['reggae', 'reggae fusion']",59,373275
211,Alex G,"['philly indie', 'pov: indie']",72,1028828
212,Selena,"['mexican pop', 'tejano']",68,3474520
213,Prince Royce,"['bachata', 'latin hip hop', 'latin pop', 'urbano latino']",74,7964140
