,artist,artist_genres,artist_popularity,artist_followers
343,Trampled by Turtles,"['duluth indie', 'indie folk', 'jam band', 'new americana', 'progressive bluegrass', 'stomp and holler']",54,377160
344,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",94,79671951
345,Big Time Rush,"['boy band', 'pop', 'post-teen pop']",64,2693481
346,The Steeldrivers,"['bluegrass', 'modern southern rock', 'neo-traditional bluegrass', 'new americana']",60,327164
347,Banda Los Recoditos,"['banda', 'musica mexicana', 'norteno']",66,4416507
348,Swedish House Mafia,"['edm', 'pop dance', 'progressive electro house']",75,3786088
349,The Naked And Famous,"['auckland indie', 'indietronica', 'kiwi rock', 'metropopolis']",54,713255
350,Vicente Fernández,"['mariachi', 'ranchera']",75,9553228
351,Matt Duncan,"['lexington ky indie', 'retro soul']",49,28199
352,Pierce The Veil,"['pop punk', 'screamo']",71,2616964
353,Broken Bells,"['chamber pop', 'indie rock', 'indietronica', 'la indie', 'modern rock']",56,591797
354,Taylor Swift,['pop'],100,86026925
355,Inner Circle,"['reggae', 'reggae fusion']",59,373275
356,Josh Abbott Band,"['classic texas country', 'red dirt', 'texas country']",55,256717
357,Selena Gomez & The Scene,['pop'],67,9253771
358,Tierra Cali,"['banda', 'musica mexicana', 'norteno', 'tierra caliente']",58,1016658
359,Disturbed,"['alternative metal', 'nu metal', 'rap metal', 'rock']",72,6245922
360,Yelawolf,['alabama rap'],64,2247711
361,Carla Morrison,"['cantautora mexicana', 'mexican pop']",71,3910230
362,Darius Rucker,"['black americana', 'contemporary country', 'country', 'country road']",67,2484750
363,MARINA,"['metropopolis', 'pop', 'pov: indie', 'uk alternative pop']",71,4903431
364,Taylor Swift,['pop'],100,86026925
365,MGMT,"['alternative rock', 'indie rock', 'indietronica', 'modern rock', 'rock']",72,2859044
366,Fabrizio Paterlini,['compositional ambient'],64,122084
367,Taylor Swift,['pop'],100,86026925
368,Alan Jackson,['country'],71,2481373
369,A Day To Remember,"['alternative metal', 'metalcore', 'neon pop punk', 'pop emo', 'pop punk', 'screamo']",67,2270621
370,Arcade Fire,"['alternative rock', 'baroque pop', 'canadian indie', 'chamber pop', 'indie rock', 'indietronica', 'modern rock', 'permanent wave', 'quebec indie', 'rock']",63,2229869
371,Mandy Moore,"['dance pop', 'neo mellow', 'post-teen pop']",62,700077
372,Shakira,"['colombian pop', 'dance pop', 'latin pop', 'pop']",85,31350749
373,Gorillaz,"['alternative hip hop', 'modern rock', 'rock']",77,10843316
374,Kid Cudi,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",78,6675522
375,Randy Houser,"['contemporary country', 'country', 'country road']",60,1004791
376,Nicki Minaj,"['hip pop', 'pop', 'queens hip hop', 'rap']",86,29523913
377,The Steeldrivers,"['bluegrass', 'modern southern rock', 'neo-traditional bluegrass', 'new americana']",60,327164
378,Kanye West,"['chicago rap', 'hip hop', 'rap']",89,21267742
379,Robyn,"['dance pop', 'electropop', 'neo-synthpop', 'scandipop', 'swedish electropop', 'swedish pop']",58,826457
380,Rihanna,"['barbadian pop', 'pop', 'urban contemporary']",88,57812873
381,Crystal Castles,"['alternative dance', 'bitpop', 'digital hardcore', 'indietronica', 'neo-synthpop', 'new rave', 'nintendocore']",69,1831961
382,Fidel Rueda,"['banda', 'musica mexicana', 'norteno']",61,2911600
383,Action Bronson,"['alternative hip hop', 'east coast hip hop', 'hip hop', 'nyc rap', 'queens hip hop']",61,785834
384,YUI,"['j-pop', 'j-poprock']",55,475298
385,Pierce The Veil,"['pop punk', 'screamo']",71,2616964
386,A Day To Remember,"['alternative metal', 'metalcore', 'neon pop punk', 'pop emo', 'pop punk', 'screamo']",67,2270621
387,Camila,"['latin arena pop', 'latin pop']",69,4186541
388,Eminem,"['detroit hip hop', 'hip hop', 'rap']",88,76511108
389,Gerardo Ortiz,"['banda', 'corrido', 'musica mexicana', 'norteno', 'sierreno']",72,7425557
390,Juan Luis Guerra 4.40,"['bachata', 'latin pop', 'tropical']",74,4414787
391,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",94,79671951
392,Canserbero,"['boom bap espanol', 'rap conciencia', 'rap politico', 'venezuelan hip hop']",74,7808692
393,YG,"['cali rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",72,3164225
394,Taylor Swift,['pop'],100,86026925
395,Ramon Ayala Y Sus Bravos Del Norte,"['musica mexicana', 'norteno']",62,468728
396,Alan Menken,"['broadway', 'movie tunes', 'orchestral soundtrack']",60,118461
397,WILLOW,"['afrofuturism', 'pop', 'post-teen pop', 'pov: indie']",69,2321071
398,Black Veil Brides,"['alternative metal', 'pop punk']",60,1905420
399,Easton Corbin,"['contemporary country', 'country', 'country road']",56,950989
400,Rob Zombie,"['alternative metal', 'hard rock', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']",66,2656040
401,Saving Abel,"['alternative metal', 'nu metal', 'post-grunge']",54,854962
402,Taylor Swift,['pop'],100,86026925
403,Taylor Swift,['pop'],100,86026925
404,Dr. Dre,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",78,10439942
405,Rihanna,"['barbadian pop', 'pop', 'urban contemporary']",88,57812873
406,Big Time Rush,"['boy band', 'pop', 'post-teen pop']",64,2693481
407,Kid Rock,['nu metal'],65,2523400
408,Yelawolf,['alabama rap'],64,2247711
409,Alan Jackson,['country'],71,2481373
410,Taylor Swift,['pop'],100,86026925
411,Trey Songz,"['dance pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",68,7448401
412,Erik Satie,"['classical', 'early avant garde', 'early modern classical', 'impressionism', 'post-romantic era']",64,765989
413,Randy Travis,"['contemporary country', 'country', 'country gospel', 'country road']",63,1656125
414,Selena,"['mexican pop', 'tejano']",68,3474520
415,Los Titanes De Durango,"['corrido', 'musica mexicana', 'norteno', 'sierreno']",59,1051897
416,Fidel Rueda,"['banda', 'musica mexicana', 'norteno']",61,2911600
417,Jason Derulo,"['dance pop', 'pop']",77,11929946
418,Big Time Rush,"['boy band', 'pop', 'post-teen pop']",64,2693481
419,Alfredo Olivas,"['banda', 'corrido', 'musica mexicana', 'norteno', 'sad sierreno', 'sierreno']",78,6516518
420,Rihanna,"['barbadian pop', 'pop', 'urban contemporary']",88,57812873
421,The Chordettes,"['classic girl group', 'doo-wop', 'vocal harmony group']",50,114245
422,Kings of Leon,"['modern rock', 'rock']",72,5292021
423,Los Alegres de la Sierra,"['chilena', 'musica mexicana', 'sierreno']",57,722882
424,Taylor Swift,['pop'],100,86026925
425,Little Big Town,"['contemporary country', 'country', 'country dawn', 'country road']",63,2752204
426,Chiddy Bang,"['indie pop rap', 'philly rap', 'pop rap']",48,400170
427,Voz De Mando,"['corrido', 'musica mexicana', 'norteno', 'sierreno']",60,1719786
428,Taylor Swift,['pop'],100,86026925
429,Enrique Iglesias,"['dance pop', 'latin pop', 'mexican pop']",75,11327933
430,Lifehouse,"['neo mellow', 'pop rock', 'post-grunge']",62,1972276
431,Grupo Innovacion,"['grupera', 'norteno']",49,94839
432,Justin Bieber,"['canadian pop', 'pop']",87,74210660
433,The Pretty Reckless,"['alternative metal', 'candy pop']",57,1357946
434,Josh Abbott Band,"['classic texas country', 'red dirt', 'texas country']",55,256717
435,Get Scared,[],56,642650
436,B.o.B,"['atl hip hop', 'dance pop', 'pop rap', 'rap', 'southern hip hop']",71,2136853
437,Lil Wayne,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",84,14056774
438,Rihanna,"['barbadian pop', 'pop', 'urban contemporary']",88,57812873
439,A Day To Remember,"['alternative metal', 'metalcore', 'neon pop punk', 'pop emo', 'pop punk', 'screamo']",67,2270621
440,Two Door Cinema Club,"['indie rock', 'indietronica', 'irish rock', 'modern alternative rock', 'modern rock', 'northern irish indie']",67,2341620
441,Calle 13,"['latin afrobeat', 'latin alternative', 'latin hip hop', 'puerto rican rock', 'rap conciencia', 'reggaeton', 'rock en espanol']",67,2904044
442,Jamey Johnson,"['country', 'country road', 'outlaw country']",61,700195
443,Aloe Blacc,"['pop soul', 'r&b']",63,715298
444,Kanye West,"['chicago rap', 'hip hop', 'rap']",89,21267742
445,Avenged Sevenfold,"['alternative metal', 'nu metal']",74,6508554
446,John Powell,"['british soundtrack', 'orchestral soundtrack', 'soundtrack']",62,208458
447,Ghost,"['hard rock', 'metal']",74,2666355
448,Gerardo Ortiz,"['banda', 'corrido', 'musica mexicana', 'norteno', 'sierreno']",72,7425557
449,Taylor Swift,['pop'],100,86026925
450,El Movimiento Alterado,"['corrido', 'corridos alternativos', 'musica mexicana', 'norteno', 'sierreno']",55,236160
451,Sleigh Bells,"['brooklyn indie', 'dance-punk', 'experimental pop', 'indie rock', 'indie surf', 'indietronica', 'neo-synthpop', 'noise pop', 'shimmer pop']",44,272696
452,bôa,[],66,438554
453,Beach House,"['art pop', 'baltimore indie', 'dream pop', 'dreamo', 'indie pop', 'indie rock', 'indietronica', 'modern dream pop']",70,1931667
454,Sufjan Stevens,"['art pop', 'baroque pop', 'chamber pop', 'indie pop', 'indie rock', 'singer-songwriter']",69,1818542
455,Taylor Swift,['pop'],100,86026925
456,Cosculluela,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",71,5671098
457,Escape the Fate,"['alternative metal', 'metalcore', 'neon pop punk', 'pixie', 'pop punk', 'screamo']",61,1263562
458,Flux Pavilion,"['brostep', 'classic dubstep', 'complextro', 'edm', 'electro house']",55,729860
459,El Trono de Mexico,"['banda', 'duranguense', 'grupera', 'musica mexicana', 'norteno']",63,1048510
460,Pierce The Veil,"['pop punk', 'screamo']",71,2616964
461,Eminem,"['detroit hip hop', 'hip hop', 'rap']",88,76511108
462,Jack Johnson,['neo mellow'],74,3704536
463,Trey Songz,"['dance pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",68,7448401
464,B.o.B,"['atl hip hop', 'dance pop', 'pop rap', 'rap', 'southern hip hop']",71,2136853
465,Calibre 50,"['banda', 'corrido', 'musica mexicana', 'norteno', 'sierreno']",73,10650634
466,My Chemical Romance,"['emo', 'modern rock', 'pop punk', 'pov: indie', 'rock']",75,7932010
467,Volbeat,"['danish metal', 'danish rock']",68,2427911
468,Rick Ross,"['dirty south rap', 'gangster rap', 'hip hop', 'rap', 'southern hip hop', 'trap']",74,7051310
469,Atmosphere,"['alternative hip hop', 'conscious hip hop', 'minnesota hip hop']",55,674764
470,Daft Punk,"['electro', 'filter house', 'rock']",79,9642932
471,Greensky Bluegrass,"['banjo', 'jam band', 'jamgrass', 'midwest americana', 'progressive bluegrass']",47,195032
472,Luniz,"['g funk', 'oakland hip hop', 'west coast rap']",56,316313
473,Pierce The Veil,"['pop punk', 'screamo']",71,2616964
474,Justin Bieber,"['canadian pop', 'pop']",87,74210660
475,Sean Kingston,"['dance pop', 'miami hip hop', 'pop']",68,3168185
476,Two Door Cinema Club,"['indie rock', 'indietronica', 'irish rock', 'modern alternative rock', 'modern rock', 'northern irish indie']",67,2341620
477,Hannah Montana,"['pop', 'post-teen pop']",61,4551469
478,Crystal Castles,"['alternative dance', 'bitpop', 'digital hardcore', 'indietronica', 'neo-synthpop', 'new rave', 'nintendocore']",69,1831961
479,Demi Lovato,"['pop', 'post-teen pop']",77,26064420
480,Sleeping With Sirens,"['neon pop punk', 'pop emo', 'pop punk', 'screamo']",62,2241737
481,Roar,"['pov: indie', 'weirdcore']",66,706938
482,Finger Eleven,"['alternative metal', 'canadian rock', 'funk metal', 'nu metal', 'post-grunge']",58,694389
483,Intocable,"['banda', 'musica mexicana', 'norteno', 'tejano']",70,3601091
484,Banda Los Recoditos,"['banda', 'musica mexicana', 'norteno']",66,4416507
485,"Sergio Vega ""El Shaka""","['banda', 'musica mexicana', 'musica sonorense', 'norteno']",63,1117082
486,Linkin Park,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",83,24434347
487,Journey,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']",72,5188959
488,Alan Jackson,['country'],71,2481373
489,Deftones,"['alternative metal', 'nu metal', 'rap metal', 'rock', 'sacramento indie']",76,4366747
490,Levert,"['contemporary r&b', 'new jack swing', 'r&b']",40,553126
491,Maxence Cyrin,['compositional ambient'],52,82009
492,Ryan Bingham,"['new americana', 'outlaw country']",58,457218
493,Rihanna,"['barbadian pop', 'pop', 'urban contemporary']",88,57812873
494,Slum Village,"['alternative hip hop', 'detroit hip hop', 'hardcore hip hop', 'hip hop']",52,310809
495,Gorillaz,"['alternative hip hop', 'modern rock', 'rock']",77,10843316
496,Camila,"['latin arena pop', 'latin pop']",69,4186541
497,Prince Royce,"['bachata', 'latin hip hop', 'latin pop', 'urbano latino']",74,7964140
498,The Steeldrivers,"['bluegrass', 'modern southern rock', 'neo-traditional bluegrass', 'new americana']",60,327164
499,Deerhunter,"['alternative rock', 'art pop', 'atlanta indie', 'dream pop', 'experimental rock', 'indie rock', 'lo-fi', 'neo-psychedelic', 'neo-synthpop', 'noise pop', 'noise rock', 'shoegaze']",48,377286
500,The Ready Set,"['neon pop punk', 'pixie', 'pop emo', 'pop punk']",45,316731
501,Linkin Park,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",83,24434347
502,Tinie Tempah,"['dance pop', 'grime', 'pop rap']",64,873056
503,Jaron And The Long Road To Love,['country road'],34,16441
504,LCD Soundsystem,"['alternative dance', 'alternative rock', 'art pop', 'dance rock', 'dance-punk', 'electronic rock', 'electronica', 'indie rock', 'indietronica', 'neo-synthpop', 'new rave']",56,1046574
505,Roscoe Dash,"['atl hip hop', 'dirty south rap', 'futuristic swag', 'southern hip hop', 'trap']",59,250815
506,JJ Grey & Mofro,"['jam band', 'modern blues', 'modern blues rock', 'swamp rock']",51,161790
507,My Darkest Days,"['alternative metal', 'nu metal', 'post-grunge']",58,579325
508,The Chordettes,"['classic girl group', 'doo-wop', 'vocal harmony group']",50,114245
509,Vampire Weekend,"['baroque pop', 'chamber pop', 'garage rock', 'indie rock', 'indietronica', 'modern rock', 'stomp and holler']",64,1872985
510,Five For Fighting,"['neo mellow', 'piano rock', 'pop rock']",55,843101
511,Johnny Cash,"['arkansas country', 'outlaw country', 'rock']",72,6045457
512,My Darkest Days,"['alternative metal', 'nu metal', 'post-grunge']",58,579325
513,Scarface,"['conscious hip hop', 'dirty south rap', 'gangster rap', 'hardcore hip hop']",54,903438
514,"Sergio Vega ""El Shaka""","['banda', 'musica mexicana', 'musica sonorense', 'norteno']",63,1117082
515,Darius Rucker,"['black americana', 'contemporary country', 'country', 'country road']",67,2484750
516,Eminem,"['detroit hip hop', 'hip hop', 'rap']",88,76511108
517,Godsmack,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",66,3069010
518,Elevation Worship,"['ccm', 'christian music', 'worship']",72,2620420
519,Taylor Swift,['pop'],100,86026925
520,Fabolous,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'trap', 'urban contemporary']",64,2664407
521,Christopher Wilde,['post-teen pop'],49,221510
522,J. Dash,['pop rap'],41,26867
523,Black Rebel Motorcycle Club,"['alternative rock', 'garage rock', 'garage rock revival', 'modern blues rock', 'permanent wave']",50,540659
524,Mac Miller,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap']",82,9497713
525,Christina Aguilera,"['dance pop', 'pop']",75,7772409
526,FLOW,['anime'],57,455986
527,Emily Osment,['post-teen pop'],42,756937
528,Hannah Montana,"['pop', 'post-teen pop']",61,4551469
529,Fidel Rueda,"['banda', 'musica mexicana', 'norteno']",61,2911600
530,Kid Cudi,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",78,6675522
531,Taylor Swift,['pop'],100,86026925
532,El Trono de Mexico,"['banda', 'duranguense', 'grupera', 'musica mexicana', 'norteno']",63,1048510
533,Pierce The Veil,"['pop punk', 'screamo']",71,2616964
534,Bow Wow,"['dance pop', 'dirty south rap', 'hip pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",58,1368149
535,Jaheim,"['contemporary r&b', 'new jack swing', 'r&b', 'urban contemporary']",53,1395644
536,Shakira,"['colombian pop', 'dance pop', 'latin pop', 'pop']",85,31350749
537,Forever Jones,['gospel'],39,51516
538,John Lennon,"['beatlesque', 'classic rock', 'rock']",67,5632157
539,Breakbot,"['filter house', 'funktronica', 'nu disco']",53,454354
540,A Day To Remember,"['alternative metal', 'metalcore', 'neon pop punk', 'pop emo', 'pop punk', 'screamo']",67,2270621
541,Local Natives,"['chamber pop', 'indie rock', 'la indie', 'modern rock', 'shimmer pop', 'stomp and holler']",56,641578
542,Blake Shelton,"['classic oklahoma country', 'contemporary country', 'country', 'country road']",69,7252298
543,Wiz Khalifa,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",80,11218382
544,Avenged Sevenfold,"['alternative metal', 'nu metal']",74,6508554
545,Alan Jackson,['country'],71,2481373
546,Stone Sour,"['alternative metal', 'nu metal', 'post-grunge', 'rock']",62,2804577
547,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",94,79671951
548,bôa,[],66,438554
549,bôa,[],66,438554
550,Stephen Hurd,"['gospel', 'praise']",37,31008
551,Kenny Chesney,"['contemporary country', 'country', 'country road']",70,4396103
552,Sick Puppies,"['alternative metal', 'nu metal', 'post-grunge']",56,890147
553,Pierce The Veil,"['pop punk', 'screamo']",71,2616964
554,Grupo Bryndis,"['banda', 'grupera', 'gruperas inmortales', 'grupero romantico', 'musica mexicana', 'norteno']",68,2133951
555,My Chemical Romance,"['emo', 'modern rock', 'pop punk', 'pov: indie', 'rock']",75,7932010
556,Alex G,"['philly indie', 'pov: indie']",72,1028828
557,Camila,"['latin arena pop', 'latin pop']",69,4186541
558,Miguel,['r&b'],77,4788498
559,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",94,79671951
560,Matthew West,"['ccm', 'christian alternative rock', 'christian music']",58,934596
561,Julión Álvarez y su Norteño Banda,"['banda', 'musica mexicana', 'norteno', 'sad sierreno', 'sierreno']",75,3766899
562,Tame Impala,"['australian psych', 'modern rock', 'neo-psychedelic', 'rock']",78,6889207
563,Edward Maya,"['romanian house', 'romanian pop']",63,233638
564,Sean Kingston,"['dance pop', 'miami hip hop', 'pop']",68,3168185
565,Sabaton,"['power metal', 'swedish metal', 'swedish power metal']",70,1942184
566,SoulChef,['ambeat'],50,84551
567,Rihanna,"['barbadian pop', 'pop', 'urban contemporary']",88,57812873
568,My Chemical Romance,"['emo', 'modern rock', 'pop punk', 'pov: indie', 'rock']",75,7932010
569,My Chemical Romance,"['emo', 'modern rock', 'pop punk', 'pov: indie', 'rock']",75,7932010
570,Los Campesinos!,"['pov: indie', 'welsh indie', 'welsh rock']",47,155753
571,Calle 13,"['latin afrobeat', 'latin alternative', 'latin hip hop', 'puerto rican rock', 'rap conciencia', 'reggaeton', 'rock en espanol']",67,2904044
572,Ne-Yo,"['dance pop', 'pop', 'r&b', 'urban contemporary']",77,8291154
573,Hopsin,['conscious hip hop'],59,2460929
574,Tech N9ne Collabos,"['country rap', 'kansas city hip hop']",50,532826
575,Taylor Swift,['pop'],100,86026925
576,Disturbed,"['alternative metal', 'nu metal', 'rap metal', 'rock']",72,6245922
577,The Black Jets,[],40,5568
578,Deftones,"['alternative metal', 'nu metal', 'rap metal', 'rock', 'sacramento indie']",76,4366747
579,Bonobo,"['downtempo', 'electronica', 'indietronica', 'instrumental hip hop', 'jazztronica', 'nu jazz', 'trip hop']",63,1348290
580,Lil Jon,"['atl hip hop', 'crunk', 'dance pop', 'dirty south rap', 'old school atlanta hip hop', 'pop rap', 'southern hip hop', 'trap']",71,1461107
581,Mac Miller,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap']",82,9497713
582,Chayanne,"['latin pop', 'puerto rican pop']",71,7522327
583,Jason Derulo,"['dance pop', 'pop']",77,11929946
584,Serani Poji,[],41,22937
585,Los Incomparables De Tijuana,"['musica bajacaliforniana', 'norteno']",50,129481
586,Anna Margaret,['post-teen pop'],40,89794
587,Nicki Minaj,"['hip pop', 'pop', 'queens hip hop', 'rap']",86,29523913
588,The Green,"['jawaiian', 'reggae rock']",52,179358
589,Triumph,"['album rock', 'canadian metal', 'classic canadian rock', 'classic rock', 'glam metal', 'hard rock']",44,458856
590,Mac Miller,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap']",82,9497713
591,My Darkest Days,"['alternative metal', 'nu metal', 'post-grunge']",58,579325
592,Kem,"['contemporary r&b', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",50,829779
593,College & Electric Youth,[],42,3929
594,Wig Wam,['glam rock'],43,36853
595,Escape the Fate,"['alternative metal', 'metalcore', 'neon pop punk', 'pixie', 'pop punk', 'screamo']",61,1263562
596,Robyn,"['dance pop', 'electropop', 'neo-synthpop', 'scandipop', 'swedish electropop', 'swedish pop']",58,826457
597,Pierce The Veil,"['pop punk', 'screamo']",71,2616964
598,Dread Mar I,"['argentine reggae', 'latin alternative', 'rock en espanol']",69,2613598
599,My Chemical Romance,"['emo', 'modern rock', 'pop punk', 'pov: indie', 'rock']",75,7932010
600,Ghost,"['hard rock', 'metal']",74,2666355
601,Evelyn Evelyn,"['baroque pop', 'dark cabaret', 'steampunk']",39,59224
602,Rihanna,"['barbadian pop', 'pop', 'urban contemporary']",88,57812873
603,Bruno Mars,"['dance pop', 'pop']",87,50939168
604,Massive Attack,"['downtempo', 'electronica', 'trip hop']",62,2056876
605,David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",86,26629905
606,Kari Jobe,"['ccm', 'christian alternative rock', 'christian music', 'worship']",58,1161566
607,Zac Brown Band,"['contemporary country', 'country', 'country road', 'modern country rock']",72,3696155
608,Ryan Bingham,"['new americana', 'outlaw country']",58,457218
609,Beta Radio,"['indie folk', 'modern indie folk', 'stomp and flutter', 'stomp and holler']",48,68802
610,Kid Cudi,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",78,6675522
611,Neon Trees,"['modern rock', 'neo mellow', 'pop rock', 'pov: indie']",63,1256141
612,Thomas Bergersen,['epicore'],62,254002
613,Alex G,"['philly indie', 'pov: indie']",72,1028828
614,Canserbero,"['boom bap espanol', 'rap conciencia', 'rap politico', 'venezuelan hip hop']",74,7808692
615,Ciara,"['dance pop', 'hip pop', 'pop', 'r&b', 'urban contemporary']",70,6312495
616,Brantley Gilbert,"['contemporary country', 'country', 'country road', 'modern country rock']",65,2963984
617,Sabaton,"['power metal', 'swedish metal', 'swedish power metal']",70,1942184
618,Kanye West,"['chicago rap', 'hip hop', 'rap']",89,21267742
619,The Band Perry,"['contemporary country', 'country', 'country dawn', 'country road']",54,1615064
620,Mac Miller,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap']",82,9497713
621,Nicki Minaj,"['hip pop', 'pop', 'queens hip hop', 'rap']",86,29523913
622,Enrique Iglesias,"['dance pop', 'latin pop', 'mexican pop']",75,11327933
623,Jesús Adrián Romero,"['latin christian', 'rock cristiano']",71,4363453
624,The National,"['chamber pop', 'indie folk', 'indie rock', 'indietronica', 'modern rock', 'stomp and holler']",66,1546749
625,Tierra Cali,"['banda', 'musica mexicana', 'norteno', 'tierra caliente']",58,1016658
626,Taylor Swift,['pop'],100,86026925
627,Billy Ocean,"['disco', 'mellow gold', 'new romantic', 'new wave pop', 'soft rock', 'yacht rock']",61,1086163
628,Garrett Hedlund,[],38,20459
629,Taylor Swift,['pop'],100,86026925
630,Ellie Goulding,"['indietronica', 'metropopolis', 'pop', 'uk pop']",78,12312017
631,Blake Shelton,"['classic oklahoma country', 'contemporary country', 'country', 'country road']",69,7252298
632,Shakira,"['colombian pop', 'dance pop', 'latin pop', 'pop']",85,31350749
633,Maná,"['latin arena pop', 'latin pop', 'latin rock', 'mexican pop', 'mexican rock', 'rock en espanol']",76,10252275
634,Edward Maya,"['romanian house', 'romanian pop']",63,233638
635,Soundgarden,"['alternative metal', 'alternative rock', 'classic rock', 'grunge', 'hard rock', 'nu metal', 'rock']",66,4135223
636,Iyaz,"['dance pop', 'pop rap', 'post-teen pop']",63,911779
637,Arcade Fire,"['alternative rock', 'baroque pop', 'canadian indie', 'chamber pop', 'indie rock', 'indietronica', 'modern rock', 'permanent wave', 'quebec indie', 'rock']",63,2229869
638,E-40,"['cali rap', 'gangster rap', 'hyphy', 'oakland hip hop', 'west coast rap']",65,856821
639,Jamie Foxx,"['contemporary r&b', 'hip pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",67,1139317
640,Phantogram,"['indietronica', 'metropopolis', 'neo-synthpop']",63,785935
641,Johann Sebastian Bach,"['baroque', 'classical', 'early music', 'german baroque']",74,4133239
642,Rihanna,"['barbadian pop', 'pop', 'urban contemporary']",88,57812873
643,Vicente Fernández,"['mariachi', 'ranchera']",75,9553228
644,Kid Cudi,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",78,6675522
645,Ocean Waves For Sleep,"['environmental', 'sleep']",65,46104
646,Katrina & The Waves,['new wave pop'],61,86836
647,Reel Big Fish,"['modern ska punk', 'punk', 'ska', 'ska punk', 'skate punk', 'socal pop punk']",51,480865
648,The Lacs,"['country rap', 'redneck']",55,571375
649,"Evelyn ""Champagne"" King","['classic soul', 'disco', 'funk', 'minneapolis sound', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']",49,332843
650,Jazmine Sullivan,"['neo soul', 'r&b', 'urban contemporary']",61,2017271
651,Bruno Mars,"['dance pop', 'pop']",87,50939168
652,Zac Brown Band,"['contemporary country', 'country', 'country road', 'modern country rock']",72,3696155
653,Frédéric Chopin,"['classical', 'early romantic era', 'polish classical']",71,3139103
654,Los Alegres Del Barranco,"['corrido', 'musica mexicana', 'norteno', 'sierreno']",63,775346
655,Bring Me The Horizon,"['melodic metalcore', 'metalcore', 'modern rock', 'pop punk', 'rock', 'uk metalcore']",76,5073964
656,Pierce The Veil,"['pop punk', 'screamo']",71,2616964
657,Jack Johnson,['neo mellow'],74,3704536
658,Kings of Leon,"['modern rock', 'rock']",72,5292021
659,My Darkest Days,"['alternative metal', 'nu metal', 'post-grunge']",58,579325
660,Fitz and The Tantrums,"['la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'pov: indie']",64,852770
661,Tame Impala,"['australian psych', 'modern rock', 'neo-psychedelic', 'rock']",78,6889207
662,Arcade Fire,"['alternative rock', 'baroque pop', 'canadian indie', 'chamber pop', 'indie rock', 'indietronica', 'modern rock', 'permanent wave', 'quebec indie', 'rock']",63,2229869
663,USHER,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']",78,10751861
664,Blake Shelton,"['classic oklahoma country', 'contemporary country', 'country', 'country road']",69,7252298
665,Cody Jinks,"['classic texas country', 'modern southern rock', 'outlaw country']",63,907226
666,Train,"['dance pop', 'neo mellow', 'pop', 'pop rock']",71,4356940
667,Marvin Sapp,['gospel'],49,725341
668,Laura Shigihara,[],52,47078
669,Shari Sloane,[],32,541
670,Sex Bob-Omb,[],46,111316
671,Chris Tomlin,"['ccm', 'christian alternative rock', 'christian music']",64,1813549
672,Marc Anthony,"['latin pop', 'modern salsa', 'salsa', 'tropical']",74,9271350
673,DJ Khaled,"['hip hop', 'miami hip hop', 'pop rap', 'rap']",75,10400689
674,Glee Cast,"['glee club', 'post-teen pop']",67,1521609
675,Tim McGraw,"['contemporary country', 'country', 'country road']",71,4470074
676,The Laurie Berkner Band,"[""children's music"", 'kindie rock']",52,68004
677,New Medicine,[],57,91323
678,Lil Wayne,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",84,14056774
